iter	Passed	Remaining
381	375456	607414
382	376363	606308
383	377274	605211
384	378198	604135
385	379071	602979
386	380113	602091
387	380978	600924
388	381852	599774
389	382660	598520
390	383553	597401
391	384344	596126
392	385189	594936
393	385941	593606
394	386793	592430
395	387551	591114
396	389017	590875
397	389984	589875
398	390835	588701
399	391719	587578
400	392624	586488
401	393496	585349
402	394430	584305
403	395256	583100
404	396173	582032
405	396912	580705
406	397817	579620
407	398617	578386
408	399473	577234
409	400421	576216
410	401367	575196
411	402272	574117
412	403044	572849
413	403775	571527
414	404632	570385
415	405535	569309
416	406506	568328
417	407412	567258
418	408265	566115
419	409039	564864
420	409928	563773
421	410694	562515
422	411644	561510
423	412628	560552
424	413647	559640
425	414698	558772
426	415603	557706
427	416577	556733
428	417408	555571
429	418430	554663
430	419311	553568
431	420138	552404
432	421032	551328
433	422252	550679
434	423636	550239
435	424756	549455
436	425791	548559
437	426761	547579
438	427491	546293
439	428554	545432
440	429460	544373
441	430493	543473
442	431443	542469
443	432229	541260
444	433086	540141
445	433957	539041
446	434680	537759
447	435485	536579
448	436293	535406
449	437123	534262
450	438031	533213
451	438781	531973
452	439601	530821
453	440499	529764
454	441312	528604
455	442060	527370
456	443054	526429
457	443878	525288
458	444611	524041
459	445676	523184
460	446534	522086
461	447434	521038
462	448376	520038
463	449452	519194
464	450334	518126
465	451284	517137
466	452375	516308
467	453363	515362
468	454240	514289
469	455150	513254
470	456286	512474
471	457215	511461
472	458155	510460
473	459343	509735
474	460628	509115
475	461539	508081
476	462296	506878
477	463155	505789
478	464071	504762
479	465018	503770
480	465802	502601
481	466654	501508
482	467562	500475
483	468428	499399
484	469265	498292
485	470111	497196
486	470935	496077
487	471706	494905
488	472531	493790
489	473406	492729
490	474173	491556
491	474984	490431
492	475802	489314
493	476696	488275
494	477437	487083
495	478297	486011
496	479221	485006
497	480094	483951
498	480982	482910
499	482094	482094
500	483052	481124
501	483940	480084
502	484788	479005
503	485685	477975
504	486368	476737
505	487177	475623
506	487952	474478
507	488938	473538
508	489749	472429
509	490572	471334
510	491353	470198
511	492224	469151
512	493059	468070
513	493913	467008
514	495031	466194
515	495854	465103
516	496728	464061
517	497623	463039
518	498375	461885
519	499138	460743
520	499887	459589
521	500773	458562
522	501630	457509
523	502385	456365
524	503161	455241
525	503900	454084
526	504657	452946
527	505407	451803
528	506114	450623
529	506922	449535
530	507690	448412
531	508508	447334
532	509235	446177
533	510139	445178
534	511003	444143
535	511830	443077
536	512739	442082
537	513761	441185
538	514715	440229
539	515697	439298
540	516462	438181
541	517375	437191
542	518288	436201
543	519167	435184
544	520070	434187
545	520823	433065
546	521551	431924
547	522329	430826
548	523164	429776
549	524001	428728
550	524821	427667
551	525718	426670
552	526599	425660
553	527338	424536
554	528111	423440
555	528925	422379
556	529909	421454
557	530981	420598
558	531928	419642
559	532828	418651
560	533832	417740
561	534590	416638
562	535426	415597
563	536271	414564
564	537066	413493
565	537898	412452
566	538664	411360
567	539307	410177
568	540109	409116
569	541303	408351
570	542241	407393
571	543164	406423
572	543924	405332
573	544711	404263
574	545544	403228
575	546478	402268
576	547195	401150
577	547923	400041
578	548768	399018
579	549609	397993
580	550480	396990
581	551606	396171
582	552385	395102
583	553240	394089
584	554058	393050
585	555109	392176
586	555902	391120
587	556749	390103
588	557541	389048
589	558177	387886
590	559011	386862
591	559811	385816
592	560793	384895
593	561674	383905
594	562442	382838
595	563451	381936
596	564559	381101
597	565438	380110
598	566349	379142
599	567162	378108
600	568164	377200
601	568989	376175
602	569766	375119
603	570689	374160
604	571486	373119
605	572352	372123
606	573162	371092
607	574022	370093
608	574889	369099
609	575853	368168
610	576644	367127
611	577548	366157
612	578406	365160
613	579241	364148
614	580243	363241
615	580978	362168
616	581720	361100
617	582509	360062
618	583330	359045
619	584203	358060
620	585060	357065
621	585920	356073
622	586833	355114
623	587647	354095
624	588548	353129
625	589404	352135
626	590291	351162
627	591090	350136
628	591931	349136
629	592808	348157
630	593714	347196
631	594601	346223
632	595365	345180
633	596189	344172
634	596996	343155
635	597796	342135
636	598560	341094
637	599364	340078
638	600261	339114
639	601075	338104
640	601963	337137
641	602835	336160
642	604047	335373
643	604909	334391
644	605789	333419
645	606623	332422
646	607507	331453
647	608580	330586
648	609473	329622
649	610329	328638
650	611119	327619
651	611884	326588
652	612742	325607
653	613503	324575
654	614484	323659
655	615315	322665
656	616218	321709
657	617123	320753
658	617833	319698
659	618586	318665
660	619465	317698
661	620278	316698
662	621055	315679
663	621741	314616
664	622422	313551
665	623213	312542
666	624272	311668
667	625117	310687
668	625870	309660
669	626688	308667
670	627596	307718
671	628426	306732
672	629329	305781
673	630180	304805
674	631046	303837
675	631883	302855
676	632795	301909
677	633553	300891
678	634388	299909
679	635265	298948
680	636108	297971
681	636929	296984
682	637725	295986
683	638483	294972
684	639317	293992
685	640120	292999
686	640915	292003
687	641743	291023
688	642587	290050
689	643637	289170
690	644493	288203
691	645410	287263
692	646302	286312
693	647148	285341
694	647998	284373
695	648763	283367
696	649502	282352
697	650543	281467
698	651477	280536
699	652365	279585
700	653457	278721
701	654331	277764
702	655174	276794
703	656002	275819
704	656773	274820
705	657576	273835
706	658460	272883
707	659411	271960
708	660185	270964
709	661209	270071
710	662046	269102
711	662905	268141
712	663850	267216
713	664908	266335
714	665992	265465
715	666845	264502
716	667665	263527
717	668520	262566
718	669447	261633
719	670251	260653
720	671072	259679
721	671912	258714
722	672635	257704
723	673454	256731
724	674292	255766
725	675142	254805
726	675968	253836
727	676699	252832
728	677618	251899
729	678299	250877
730	679099	249901
731	679882	248918
732	680691	247946
733	681529	246984
734	682349	246017
735	683171	245050
736	684016	244092
737	684910	243152
738	685808	242213
739	686729	241283
740	687639	240348
741	688380	239356
742	689204	238392
743	689951	237402
744	690834	236460
745	691763	235533
746	692490	234538
747	693379	233598
748	694270	232659
749	695059	231686
750	695752	230682
751	696806	229798
752	697557	228813
753	698390	227856
754	699198	226892
755	700104	225959
756	700858	224978
757	701703	224026
758	702443	223041
759	703340	222107
760	704121	221136
761	705281	220284
762	706033	219305
763	706931	218371
764	707644	217381
765	708401	216404
766	709263	215460
767	710019	214485
768	710834	213527
769	711532	212535
770	712203	211536
771	713071	210596
772	713881	209639
773	714611	208659
774	715324	207674
775	716009	206683
776	716727	205701
777	717546	204749
778	718275	203772
779	719235	202861
780	720004	201896
781	720907	200969
782	721633	199992
783	722406	199030
784	723174	198066
785	723857	197080
786	724629	196119
787	725435	195167
788	726123	194185
789	726822	193206
790	727604	192249
791	728377	191291
792	729043	190305
793	729724	189324
794	730494	188366
795	731308	187420
796	732095	186468
797	732801	185496
798	733574	184541
799	734252	183563
800	734996	182602
801	735858	181670
802	736658	180724
803	737434	179772
804	738152	178807
805	738966	177865
806	739778	176923
807	740525	175966
808	741374	175034
809	742107	174074
810	742961	173143
811	743849	172221
812	744691	171288
813	745635	170378
814	746606	169475
815	747521	168558
816	748238	167598
817	749106	166671
818	749824	165712
819	750616	164769
820	751339	163812
821	752168	162878
822	752871	161917
823	753576	160958
824	754386	160021
825	755126	159070
826	755905	158127
827	756643	157177
828	757324	156215
829	758134	155280
830	759396	154438
831	760338	153529
832	761492	152664
833	762303	151729
834	762961	150764
835	763788	149834
836	764648	148910
837	765596	148003
838	766512	147089
839	767440	146179
840	768354	145265
841	769188	144336
842	770001	143404
843	770778	142466
844	771616	141539
845	772706	140658
846	773774	139772
847	774577	138839
848	775490	137925
849	776404	137012
850	777601	136148
851	778428	135219
852	779371	134311
853	780167	133377
854	781271	132496
855	782217	131587
856	783204	130686
857	784355	129811
858	785348	128910
859	786231	127991
860	787035	127059
861	788006	126154
862	788729	125209
863	789673	124300
864	790563	123382
865	791489	122470
866	792314	121543
867	793170	120620
868	793980	119691
869	794740	118754
870	795834	117867
871	796610	116933
872	797331	115992
873	798246	115078
874	799163	114166
875	799905	113228
876	800679	112295
877	801514	111372
878	802282	110439
879	803001	109500
880	803860	108580
881	804661	107653
882	805446	106723
883	806163	105786
884	806968	104860
885	807900	103951
886	808595	103011
887	809331	102077
888	810138	101153
889	810831	100215
890	811567	99282
891	812240	98343
892	813010	97415
893	813812	96492
894	814771	95587
895	815580	94665
896	816327	93736
897	817000	92799
898	817780	91875
899	818536	90948
900	819298	90022
901	820119	89103
902	820899	88180
903	821776	87268
904	822692	86359
905	823470	85437
906	824184	84508
907	824960	83586
908	825739	82664
909	826458	81737
910	827218	80814
911	827890	79884
912	828591	78956
913	829318	78032
914	829795	77084
915	830612	76169
916	831303	75243
917	832080	74325
918	832914	73412
919	833666	72492
920	834345	71567
921	835279	70663
922	836063	69747
923	836870	68833
924	837566	67910
925	838308	66992
926	839000	66070
927	839777	65155
928	840484	64235
929	841461	63335
930	842150	62414
931	842967	61504
932	843683	60586
933	844545	59678
934	845230	58759
935	846026	57847
936	846709	56929
937	847433	56013
938	848181	55100
939	848955	54188
940	849638	53271
941	850304	52354
942	851182	51450
943	851955	50539
944	852734	49630
945	853505	48720
946	854197	47806
947	855291	46914
948	856011	46002
949	856834	45096
950	857619	44188
951	858301	43275
952	859016	42364
953	859811	41458
954	860606	40552
955	861334	39642
956	862113	38736
957	862865	37829
958	863853	36932
959	864926	36038
960	865783	35135
961	866603	34231
962	867358	33325
963	868157	32420
964	868935	31515
965	869936	30618
966	870878	29719
967	871577	28812
968	872254	27904
969	873156	27004
970	874036	26104
971	874874	25202
972	875770	24301
973	876528	23398
974	877307	22495
975	878093	21592
976	878879	20690
977	879673	19788
978	880386	18884
979	881134	17982
980	881791	17078
981	882581	16177
982	883322	15276
983	884100	14375
984	884950	13476
985	885733	12576
986	886544	11676
987	887456	10778
988	888285	9879
989	888962	8979
990	889692	8079
991	890509	7181
992	891436	6284
993	892244	5385
994	893102	4487
995	894040	3590
996	894814	2692
997	895226	1794
998	896021	896
999	896821	0
