iter	RMSE
0	26.12683728
1	25.17919209
2	24.28604297
3	23.45192646
4	22.67738708
5	21.94674712
6	21.27213679
7	20.63978984
8	20.05163493
9	19.50685434
10	19.00277106
11	18.52969123
12	18.09097197
13	17.68701794
14	17.31308617
15	16.96815126
16	16.64944124
17	16.35403428
18	16.0814247
19	15.83451378
20	15.60433387
21	15.39561243
22	15.2040688
23	15.02968041
24	14.87151941
25	14.72311393
26	14.59029857
27	14.46752518
28	14.35709083
29	14.2543895
30	14.16287932
31	14.07663287
32	13.9987456
33	13.92799591
34	13.86423838
35	13.80675965
36	13.75330922
37	13.70567794
38	13.66293081
39	13.62249984
40	13.58631686
41	13.5527231
42	13.52271835
43	13.49613576
44	13.47054671
45	13.4475215
46	13.42634412
47	13.40789007
48	13.39001573
49	13.37407922
50	13.35956191
51	13.34632779
52	13.33458668
53	13.3236025
54	13.31418724
55	13.30543815
56	13.29701164
57	13.28895302
58	13.28136932
59	13.27536038
60	13.26926411
61	13.263395
62	13.25816146
63	13.25355107
64	13.24845802
65	13.2435144
66	13.23973344
67	13.23626331
68	13.23276686
69	13.22953108
70	13.22660468
71	13.22384391
72	13.22127703
73	13.21894339
74	13.21671309
75	13.21420287
76	13.21220229
77	13.21019531
78	13.20843702
79	13.20693915
80	13.20541923
81	13.20371211
82	13.20209036
83	13.20004422
84	13.197933
85	13.19606276
86	13.19430891
87	13.19244536
88	13.19086239
89	13.18928071
90	13.18759679
91	13.18623047
92	13.18534583
93	13.18398606
94	13.1826469
95	13.18178202
96	13.18080133
97	13.18007921
98	13.1792915
99	13.17807346
100	13.17723873
101	13.17585319
102	13.17463418
103	13.17411614
104	13.17321997
105	13.17221646
106	13.17139255
107	13.17026327
108	13.16941144
109	13.16891577
110	13.16820566
111	13.16758222
112	13.16675608
113	13.16617111
114	13.16499264
115	13.16425972
116	13.16345066
117	13.16293627
118	13.16236206
119	13.16141508
120	13.16070677
121	13.16007504
122	13.15941331
123	13.15868602
124	13.15799362
125	13.1576694
126	13.15665457
127	13.15568147
128	13.15526429
129	13.15462558
130	13.15398081
131	13.15336127
132	13.15254046
133	13.15188069
134	13.15084617
135	13.15039989
136	13.15001455
137	13.14951482
138	13.14917789
139	13.14860899
140	13.14828405
141	13.14783949
142	13.14717992
143	13.14664463
144	13.14610276
145	13.14558886
146	13.14524858
147	13.14491093
148	13.14412351
149	13.14373544
150	13.14323375
151	13.14236895
152	13.1418043
153	13.14015643
154	13.13833632
155	13.13799941
156	13.13752846
157	13.13694011
158	13.13665476
159	13.13630655
160	13.13588387
161	13.13533981
162	13.13477756
163	13.13437626
164	13.13398052
165	13.13358775
166	13.13322689
167	13.13240748
168	13.13176315
169	13.13139842
170	13.13106978
171	13.13076995
172	13.13028632
173	13.12973021
174	13.12949891
175	13.12918267
176	13.12783246
177	13.12746633
178	13.12713779
179	13.12679751
180	13.12543764
181	13.12502613
182	13.12475495
183	13.12444339
184	13.12411973
185	13.1237407
186	13.12332176
187	13.12299766
188	13.1227093
189	13.12219491
190	13.12063848
191	13.12017613
192	13.11991208
193	13.11882281
194	13.11863732
195	13.11808497
196	13.11786897
197	13.11728682
198	13.11685237
199	13.11649436
200	13.11566114
201	13.11529524
202	13.11499809
203	13.11467614
204	13.11445906
205	13.11401119
206	13.1125382
207	13.11219306
208	13.11177603
209	13.11140853
210	13.11120814
211	13.11097424
212	13.11054968
213	13.11015147
214	13.1099177
215	13.10894434
216	13.10780587
217	13.10756811
218	13.10712223
219	13.10652576
220	13.10563792
221	13.10522508
222	13.10489763
223	13.10433436
224	13.10361611
225	13.10345614
226	13.10319949
227	13.10293174
228	13.10260001
229	13.10209925
230	13.10185469
231	13.10134922
232	13.10113225
233	13.10080006
234	13.10036511
235	13.10003743
236	13.09980923
237	13.09957308
238	13.09930133
239	13.09905517
240	13.09880808
241	13.09846793
